Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.7218e-01,-0.92,-1.16
-1.7180e-01,-1.06,-0.66
-1.7141e-01,-0.88,-1.22
-1.7103e-01,-0.9,-0.62
-1.7064e-01,-0.94,-1.2
-1.7026e-01,-0.92,-0.72
-1.6988e-01,-0.84,-1.16
-1.6949e-01,-0.94,-0.68
-1.6911e-01,-0.84,-1.18
-1.6872e-01,-0.88,-0.7
-1.6834e-01,-0.96,-1.2
-1.6796e-01,-0.88,-0.66
-1.6757e-01,-0.94,-1.18
-1.6719e-01,-1.02,-0.66
-1.6680e-01,-0.9,-1.18
-1.6642e-01,-0.96,-0.6
-1.6603e-01,-0.92,-1.18
-1.6565e-01,-0.8,-0.62
-1.6527e-01,-0.82,-1.18
-1.6488e-01,-1.06,-0.62
-1.6450e-01,-0.86,-1.16
-1.6411e-01,-0.92,-0.64
-1.6373e-01,-0.92,-1.14
-1.6335e-01,-0.92,-0.66
-1.6296e-01,-0.92,-1.24
-1.6258e-01,-1.08,-0.68
-1.6219e-01,-0.86,-1.16
-1.6181e-01,-0.78,-0.68
-1.6143e-01,-0.94,-1.18
-1.6104e-01,-0.96,-0.68
-1.6066e-01,-0.94,-1.18
-1.6027e-01,-1.02,-0.7
-1.5989e-01,-0.9,-1.2
-1.5951e-01,-0.94,-0.72
-1.5912e-01,-0.92,-1.16
-1.5874e-01,-0.98,-0.66
-1.5835e-01,-0.88,-1.16
-1.5797e-01,-0.94,-0.68
-1.5759e-01,-1,-1.16
-1.5720e-01,-0.86,-0.64
-1.5682e-01,-0.88,-1.14
-1.5643e-01,-1.08,-0.66
-1.5605e-01,-0.92,-1.16
-1.5567e-01,-0.9,-0.66
-1.5528e-01,-1,-1.16
-1.5490e-01,-0.8,-0.68
-1.5451e-01,-0.9,-1.18
-1.5413e-01,-0.9,-0.6
-1.5375e-01,-0.92,-1.18
-1.5336e-01,-0.84,-0.68
-1.5298e-01,-1.08,-1.16
-1.5259e-01,-0.9,-0.68
-1.5221e-01,-0.8,-1.2
-1.5183e-01,-0.9,-0.68
-1.5144e-01,-0.88,-1.18
-1.5106e-01,-0.9,-0.66
-1.5067e-01,-0.94,-1.14
-1.5029e-01,-0.94,-0.66
-1.4991e-01,-0.84,-1.2
-1.4952e-01,-1.02,-0.7
-1.4914e-01,-1.02,-1.14
-1.4875e-01,-0.98,-0.66
-1.4837e-01,-0.9,-1.18
-1.4799e-01,-0.84,-0.66
-1.4760e-01,-0.9,-1.18
-1.4722e-01,-0.88,-0.64
-1.4683e-01,-0.86,-1.2
-1.4645e-01,-1,-0.66
-1.4607e-01,-0.98,-1.22
-1.4568e-01,-0.84,-0.68
-1.4530e-01,-0.9,-1.18
-1.4491e-01,-1,-0.66
-1.4453e-01,-0.82,-1.22
-1.4415e-01,-1,-0.66
-1.4376e-01,-0.86,-1.16
-1.4338e-01,-1.02,-0.68
-1.4299e-01,-0.92,-1.16
-1.4261e-01,-0.82,-0.68
-1.4223e-01,-0.92,-1.18
-1.4184e-01,-0.86,-0.68
-1.4146e-01,-0.86,-1.14
-1.4107e-01,-0.88,-0.68
-1.4069e-01,-0.8,-1.18
-1.4031e-01,-0.92,-0.64
-1.3992e-01,-0.9,-1.14
-1.3954e-01,-0.94,-0.7
-1.3915e-01,-0.94,-1.16
-1.3877e-01,-0.94,-0.56
-1.3839e-01,-0.9,-1.18
-1.3800e-01,-0.72,-0.64
-1.3762e-01,-0.88,-1.14
-1.3723e-01,-0.82,-0.68
-1.3685e-01,-0.92,-1.18
-1.3647e-01,-0.96,-0.66
-1.3608e-01,-0.86,-1.14
-1.3570e-01,-0.82,-0.74
-1.3531e-01,-0.96,-1.2
-1.3493e-01,-0.96,-0.68
-1.3454e-01,-0.8,-1.18
-1.3416e-01,-0.9,-0.66
-1.3378e-01,-0.82,-1.14
-1.3339e-01,-0.9,-0.68
-1.3301e-01,-0.98,-1.14
-1.3262e-01,-0.8,-0.64
-1.3224e-01,-0.96,-1.22
-1.3186e-01,-0.98,-0.64
-1.3147e-01,-1.1,-1.12
-1.3109e-01,-0.94,-0.7
-1.3070e-01,-0.9,-1.16
-1.3032e-01,-0.98,-0.64
-1.2994e-01,-0.82,-1.16
-1.2955e-01,-0.88,-0.68
-1.2917e-01,-0.98,-1.18
-1.2878e-01,-0.96,-0.68
-1.2840e-01,-0.8,-1.2
-1.2802e-01,-1.08,-0.68
-1.2763e-01,-0.82,-1.16
-1.2725e-01,-0.98,-0.68
-1.2686e-01,-0.98,-1.22
-1.2648e-01,-0.9,-0.6
-1.2610e-01,-0.9,-1.22
-1.2571e-01,-0.9,-0.66
-1.2533e-01,-1.06,-1.18
-1.2494e-01,-0.96,-0.68
-1.2456e-01,-0.94,-1.18
-1.2418e-01,-0.82,-0.66
-1.2379e-01,-0.92,-1.18
-1.2341e-01,-0.9,-0.68
-1.2302e-01,-0.96,-1.2
-1.2264e-01,-0.86,-0.66
-1.2226e-01,-0.92,-1.16
-1.2187e-01,-0.84,-0.6
-1.2149e-01,-0.9,-1.14
-1.2110e-01,-1.04,-0.68
-1.2072e-01,-1,-1.14
-1.2034e-01,-0.88,-0.66
-1.1995e-01,-0.96,-1.16
-1.1957e-01,-0.92,-0.62
-1.1918e-01,-0.98,-1.2
-1.1880e-01,-0.86,-0.68
-1.1842e-01,-0.82,-1.18
-1.1803e-01,-0.8,-0.66
-1.1765e-01,-0.88,-1.12
-1.1726e-01,-0.92,-0.64
-1.1688e-01,-0.92,-1.16
-1.1650e-01,-0.84,-0.68
-1.1611e-01,-0.9,-1.16
-1.1573e-01,-0.9,-0.62
-1.1534e-01,-0.98,-1.14
-1.1496e-01,-0.82,-0.7
-1.1458e-01,-0.84,-1.14
-1.1419e-01,-0.92,-0.68
-1.1381e-01,-0.94,-1.14
-1.1342e-01,-0.86,-0.66
-1.1304e-01,-0.94,-1.18
-1.1266e-01,-0.8,-0.6
-1.1227e-01,-0.76,-1.16
-1.1189e-01,-0.9,-0.72
-1.1150e-01,-0.96,-1.14
-1.1112e-01,-0.86,-0.62
-1.1074e-01,-0.84,-1.14
-1.1035e-01,-1,-0.64
-1.0997e-01,-0.88,-1.16
-1.0958e-01,-0.96,-0.66
-1.0920e-01,-0.94,-1.22
-1.0882e-01,-0.86,-0.66
-1.0843e-01,-0.86,-1.18
-1.0805e-01,-0.82,-0.68
-1.0766e-01,-0.88,-1.18
-1.0728e-01,-0.82,-0.66
-1.0690e-01,-0.94,-1.18
